state,total_pop,disability_category,race,gender,employed_count,disability_employed,no_disability_employed,employment_gap,poverty_count,disability_poverty,no_disability_poverty,poverty_gap,total_earnings,no_disability_earnings,disability_earnings,earnings_gap,SSDI_allowance_rate,min_wage_rate
AL,427044,All,All,All,138077,32.3,74.6,42.3,117608,27.5,14.4,13.1,44212,44278,40266,4012,35.3,7.25
AK,57446,All,All,All,26466,46.1,74.9,28.8,13785,24,9.1,14.9,58319,59291,53857,5434,57.7,10.34
AZ,462266,All,All,All,203672,44.1,76,31.9,101643,22,12.1,9.9,51055,51404,43242,8162,35.7,12.8
AR,270410,All,All,All,95322,35.3,76.8,41.5,75911,28.1,14.4,13.7,41172,41192,33688,7504,38.7,11
CA,2094680,All,All,All,825876,39.41,73.5,34.1,470724,22.5,11.3,11.2,60861,60970,51427,9543,36,14
CO,334153,All,All,All,166776,49.9,79.9,30,64675,19.4,9.7,9.7,58806,59536,51375,8161,39.2,12.56
CT,210733,All,All,All,93481,44.41,78.3,33.9,50433,23.9,10.4,13.5,64532,66025,50735,15290,45.7,14
DE,63108,All,All,All,29787,47.2,76.3,29.1,13653,21.6,11.5,10.1,55026,55678,50861,4817,38.1,10.5
DC,45567,All,All,All,18345,40.3,77.8,37.5,17222,37.8,17.1,20.7,91860,92266,71474,20792,33.8,16.1
FL,1294357,All,All,All,508919,39.3,76.3,37,304721,23.5,12,11.5,45390,46246,41173,5073,41.6,10
GA,718796,All,All,All,279071,38.8,76,37.2,174123,24.2,12.7,11.5,49389,49414,43228,6186,39,7.25
HI,70655,All,All,All,28568,40.4,75.1,34.7,20003,28.3,10.4,17.9,54532,54365,57004,-2639,36.6,12
ID,129963,All,All,All,65530,50.4,79.5,29.1,24273,18.7,10.3,8.4,46058,46161,37055,9106,44.7,7.25
IL,738699,All,All,All,307531,41.6,76.9,35.3,187135,25.3,11,14.3,55935,56247,46194,10053,41.1,12
IN,475999,All,All,All,193235,40.6,78.7,38.1,120215,25.3,11.7,13.6,49431,51394,41174,10220,35,7.25
IA,200714,All,All,All,94631,47.1,83,35.9,57854,28.8,11.7,17.1,50922,51397,43195,8202,46.1,7.25
KS,201587,All,All,All,87877,43.6,80.9,37.3,56306,27.9,11.6,16.3,49395,50164,44820,5344,47.6,7.25
KY,425527,All,All,All,143193,33.7,76,42.3,138531,32.6,14.5,18.1,46289,46318,40689,5629,34.6,7.25
LA,382524,All,All,All,130691,34.2,72.2,38,120020,31.4,17.3,14.1,46270,46296,38100,8196,36.5,7.25
ME,111109,All,All,All,39764,35.81,80.1,44.3,37853,34.1,10.9,23.2,51400,51413,41097,10316,38.4,12.75
MD,347449,All,All,All,158268,45.6,79,33.4,82539,23.8,9.3,14.5,65910,66191,54761,11430,46.8,12.5
MA,390447,All,All,All,162885,41.7,78.8,37.1,102885,26.4,11.6,14.8,71055,71213,57045,14168,42.1,14.25
MI,717556,All,All,All,267500,37.3,75.4,38.1,188470,26.3,12.2,14.1,51467,51478,44068,7410,38.6,9.87
MN,346254,All,All,All,176096,50.9,83.5,32.6,80760,23.3,8.5,14.8,57174,58202,47294,10908,41.6,10.33
MS,283513,All,All,All,94106,33.2,72.9,39.7,87026,30.7,16.8,13.9,40890,40912,37591,3321,33.8,7.25
MO,455483,All,All,All,188557,41.4,79.4,38,126640,27.8,11.7,16.1,48395,49389,39992,9397,41.3,11.15
MT,75444,All,All,All,32744,43.4,78.7,35.3,19276,25.6,11.5,14.1,46320,46335,42765,3570,43.9,9.2
NE,127695,All,All,All,67109,52.6,84.8,32.2,27349,21.4,10.7,10.7,51085,51406,40738,10668,46.6,9
NV,203594,All,All,All,86496,42.51,73.5,31,50241,24.7,12.2,12.5,47175,47196,45918,1278,40.3,10.5
NH,86205,All,All,All,40316,46.8,81.7,34.9,16022,18.6,7.7,10.9,58304,58855,48283,10572,52.2,7.25
NJ,442236,All,All,All,177976,40.2,76.5,36.3,95270,21.5,9.2,12.3,66429,66605,56529,10076,41.8,13
NM,172088,All,All,All,60122,34.9,71.2,36.3,54792,31.8,17.3,14.5,46345,48296,35680,12616,34.8,11.5
NY,1137516,All,All,All,419234,36.9,73.8,36.9,330786,29.1,13,16.1,61383,61510,51260,10250,38.7,13.2
NC,721213,All,All,All,277731,38.5,76.4,37.9,176724,24.5,13,11.5,49119,49300,42178,7122,37.3,7.25
ND,47057,All,All,All,27321,58.1,83.1,25,10371,22,11.3,10.7,51419,51437,39432,12005,52,7.25
OH,844365,All,All,All,333629,39.5,78.7,39.2,240989,28.5,12,16.5,51421,51440,41168,10272,38.8,9.3
OK,355773,All,All,All,146090,41.1,76.3,35.2,95550,26.9,14,12.9,43192,43532,35977,7555,32.5,7.25
OR,337722,All,All,All,143668,42.5,76.6,34.1,90697,26.9,11.9,15,53635,55082,46245,8837,41.6,13.5
PA,862692,All,All,All,340244,39.4,78,38.6,237259,27.5,11.3,16.2,54156,55255,46210,9045,38.1,7.25
RI,79542,All,All,All,33737,42.4,78,35.6,18802,23.6,13.1,10.5,56965,58689,46087,12602,47.4,12.25
SC,371131,All,All,All,132959,35.8,75.3,39.5,96339,26,14.4,11.6,46090,46157,41180,4977,42.5,7.25
SD,54749,All,All,All,28037,51.2,83.6,32.4,16383,29.9,12.6,17.3,46314,46325,40922,5403,42,9.95
TN,536506,All,All,All,191440,35.7,77,41.3,151658,28.3,12.4,15.9,45277,46253,40684,5569,39.9,7.25
TX,1812286,All,All,All,832902,46,75.4,29.4,403925,22.3,12.5,9.8,51394,51408,41455,9953,34,7.25
UT,194928,All,All,All,105165,54,80.2,26.2,38294,19.6,8.5,11.1,51449,51470,41205,10265,48.8,7.25
VT,44065,All,All,All,16705,37.9,79.3,41.4,15631,35.5,13,22.5,51439,51458,44980,6478,51.1,12.55
VA,525816,All,All,All,233508,44.4,78.8,34.4,118857,22.6,10.3,12.3,59216,60089,51432,8657,44.4,11
WA,515893,All,All,All,216240,41.9,77.1,35.2,121811,23.6,9.3,14.3,65409,66212,51487,14725,42.4,14.49
WV,171095,All,All,All,50814,29.7,71.3,41.6,53491,31.3,16.6,14.7,44198,45225,35947,9278,34.7,8.75
WI,361742,All,All,All,167399,46.3,82,35.7,97088,26.8,10.4,16.4,51470,51479,46170,5309,45.9,7.25
WY,37772,All,All,All,19703,52.2,80.5,28.3,8367,22.2,12.1,10.1,50196,51076,33307,17769,43.9,7.25
