state,total_pop,hearing_employ,hearing_poverty,vision_employ,vision_poverty,cognitive_employ,cognitive_poverty,ambulatory_employ,ambulatory_poverty,self-care_employ,self-care_poverty,independent_living_employ,independent_living_poverty,white_employ,white_poverty,white_e_gap,white_p_gap,black_employ,black_poverty,black_e_gap,black_p_gap,asian_employ,asian_poverty,asian_e_gap,asian_p_gap,other_employ,other_poverty,other_e_gap,other_p_gap,hispanic_employ,hispanic_poverty,hispanic_e_gap,hispanic_p_gap,male_employ,male_poverty,male_e_gap,male_p_gap,female_employ,female_poverty,female_e_gap,female_p_gap
AL,427044,52.2,16.3,36.6,23.2,26.6,26.4,19,23.1,11.3,22.8,13.8,23.1,34.1,18.7,41.9,7.4,26,30.6,45.3,5.8,53.7,23.7,23.1,12.8,37.4,25.8,36.2,8.4,50.2,27.1,22,1.8,34.5,19.6,45.2,5.9,30.3,17.7,25.1,7.3
AK,57446,52.5,17.5,58.3,24,46.6,24.7,32,22,27.5,25.1,21.5,25.3,44.2,16,33.4,8.9,27.4,37.4,47.4,14.3,71.3,28.5,0.9,23.2,40.9,27.2,27.8,9.9,77.4,24.4,-1.1,10,45,19.8,33.8,8.9,47,9.4,22.2,12.6
AZ,462266,54.7,14.6,57,18.5,36.6,22.7,29.8,19.2,18,18.9,23.4,19.5,44.4,15,33.1,6.1,43.8,22,34.1,3.6,49.1,17.9,28.8,6.7,39.3,29.4,28.3,8.6,44.7,22.6,30.4,5.7,45.2,17.5,36.9,5.8,43,14.1,19.4,4.9
AR,270410,52.7,17.9,39.4,27.5,26.3,28.4,24.6,24.5,13.4,28.2,14.8,26.6,36,21.1,41.6,7.6,30.1,32.9,43.4,5.4,37.3,10.8,39.6,0.8,32,25.7,44.8,10.7,52.1,25.5,24.3,3.5,35.1,20.6,46.5,6.1,35.4,17.8,25.9,8.2
CA,2094680,52.2,15,47.9,20.1,31.8,23.6,25,19.8,13.2,22.5,19.1,21.9,38.9,16.6,36.4,8.3,31.8,29,37.3,9.9,40.4,17.4,33.2,6.9,40,23.4,32.5,10.2,41.3,20.5,31.5,4.4,40.4,17.9,39.1,6.6,38.4,13.5,20.5,7.5
CO,334153,61.4,11.6,53.7,17.3,41.8,18.8,32.5,16.4,18.6,16.9,27.7,18.2,51.7,13.5,29.7,6.3,48.4,27.2,30.8,8.5,61.9,10.4,16.6,0.5,46.9,17.9,30.8,6.1,45.1,18.9,31.3,3.5,51.5,13.8,33.2,4.7,48.2,11,16.9,6
CT,210733,58.4,14.5,53.9,20.7,35.1,26.4,27.2,21.2,20.7,25.1,20.7,25.2,44.9,15.4,34.5,7.8,38.5,28.3,40.8,13,54.8,13.5,19.7,2.2,40.8,21.1,36.1,9.3,45.9,31.6,29.8,12.7,47.2,17.9,34.3,8.3,41.5,11.2,21.6,10.8
DE,63108,56.3,14.2,46.3,18.9,38.6,21.4,35.2,14.9,23.3,21.5,27.7,17.3,46.5,11.9,29.4,4.1,35.4,17.3,41.6,-2.5,71.4,8.7,4,1.4,61.9,33.6,14.2,17.3,61.4,31.9,16.2,12.2,45.5,13.7,34.4,4.1,49.1,14.1,17.8,3.9
DC,45567,47.2,32,46.7,28,37.2,34.6,30.4,33.9,16.6,36.4,20.3,34,62.4,22.4,23.8,12.7,32.8,32,32.6,2.7,57,60,24,39.8,32.1,43.2,46.1,26.6,56.2,24.6,26.7,12.8,43.5,24.3,35.1,7.2,37.6,19.7,35.9,16.3
FL,1294357,53.9,13.8,48.5,20.9,31.4,23.9,26,19.7,17.4,22.1,19.1,21.3,39.4,15,37,5.1,35.7,29.3,38.6,9.1,44.7,16.3,30.2,6.1,40.1,24.5,33.9,11.3,41,24.6,36.6,9.6,40.7,17.2,40.6,5,37.9,14.1,21.3,6.9
GA,718796,53.1,14,46.4,22.4,33,23.8,24.9,20.1,17.1,22.1,16.8,21.3,40.2,15.5,36.9,5.1,36.1,27.6,38.7,7.7,48.8,17.7,26.2,6.7,34.3,20.6,39.8,5,44.6,21.3,30.9,0.2,40.2,18.2,40.8,4.7,37.5,15.7,21.6,6.3
HI,70655,56.8,12.8,50,12.8,28.5,25.9,28.9,18.4,15.7,15.9,28.5,16.7,35.8,19.7,39.1,8,33,37.9,26.9,12.2,46.7,11.4,31.9,3.6,42.9,24.2,29.4,9.3,32.3,27.6,40.5,14,39.5,20.2,39.2,9,41.6,12,17.5,6
ID,129963,64.1,10.6,65.7,17.6,42.4,20.4,33.3,17.3,17.3,20.6,21.9,21.7,48.4,15.9,31.6,6,25.4,37.7,57.9,2.6,30.4,58.1,48.9,45.5,56.9,17.3,15.7,1,62.3,17.7,17.3,3.6,57.5,14.5,27.8,4.8,43.4,12.2,18.8,6.8
IL,738699,57.1,16,50.4,23.4,34,25.9,27.1,21.5,16,23.6,21.2,22,42.7,17.4,36.9,8.6,32.4,32.3,34.1,7.7,44.8,19.9,32.4,9.1,43.8,26.2,31.9,11.9,48.5,19.4,27.4,4.3,41.8,19.8,39.2,9,41.5,13,21.3,8
IN,475999,55.8,13.7,48.7,23,35.3,26.1,26.7,20.5,16.5,23.3,22.4,22.4,41.3,18,38.5,7.6,30.4,30.7,44.4,10.6,66.2,21.6,4.6,1,43.6,25.7,34.2,9,41.2,26.2,34,6.6,42.7,16.7,41,5.4,38.7,13.6,23.1,9.4
IA,200714,58.1,14.3,53.4,22.5,40.2,31.7,28.7,22.5,20.4,26.9,27.9,25.1,45.6,19.8,38.7,10.2,35.6,46.3,33.5,14,49.8,15.4,23.7,-1.1,53.3,25.9,27.7,9.6,62.3,39.6,17.8,23.2,48.8,18.6,37.6,8.2,45.6,12.2,25.1,12.8
KS,201587,60.4,13.7,52.5,24.3,37.7,29.3,28.7,21.2,13.1,23.6,23.5,24.4,45.7,17.9,36.4,8.3,30.1,46,43.4,19.8,58,25.5,21.5,14.7,45.4,27.6,31.4,10.9,35.8,32.6,43.2,15.7,46,20,39.4,9.3,41.2,13.2,23.3,9.8
KY,425527,46.7,20.4,38.9,29.1,24.6,34.5,20.5,27.3,12.7,28.1,14.2,30,33.1,26.3,43.3,11.6,30.9,31.9,43,6.7,51.4,16.6,21.8,6.6,39,33,34.7,13.9,45.7,30.2,30.1,3,35.2,23.1,45.2,8.4,32.1,17.1,30.9,13.9
LA,382524,38.4,19.9,43.1,29.3,26.2,31.5,22.3,26.8,14.1,27.9,16.6,29,35.9,20,40.2,8.4,30.9,37.2,34.2,4.6,32,18.7,36.2,0.6,30.8,40.9,39,17.7,46.5,22.5,26.5,0.7,35.7,24,40.4,6.5,32.7,20.9,29.1,8.1
ME,111109,46.8,15.7,33.2,26.8,29.7,37.7,19.9,25.8,8.3,30.5,22.7,31.4,35.4,25,45,14.3,60.4,25.3,17.7,-12.9,46,37.7,24.8,7.9,21.3,34.1,55.8,22.5,50.6,13.2,31.2,2.1,36.4,24.4,46.7,13.7,35.1,12.5,26.4,13.5
MD,347449,63.2,11.4,53.4,19.7,38,24.9,31.7,20.3,18,23.4,22.4,21.5,49.1,14.4,31.9,7.5,39.4,25.6,38.1,12,48.5,15.2,27.5,5.8,44.5,26.5,32.4,15.9,52.7,20.1,24.5,3.2,45.7,17,36.8,7.4,45.5,10.9,20.9,10.1
MA,390447,56.5,14.2,50.9,20.2,35.5,27.2,25.4,22.8,15.9,24.4,22.7,24.5,42.7,17.6,37.9,9.4,43.7,27.8,33.3,12.1,47.9,25.3,28.1,11.3,43.8,27.1,32.4,14.9,34.6,37.7,38.7,14.7,42.1,19,39.7,8.8,41.4,12.8,24.1,11.2
MI,717556,53.2,13.6,42.7,22.2,31.9,27.8,23.5,22.1,12.6,25.7,17.5,24.1,39.1,18.7,38,8.5,28,32.8,39,7.1,42,11.6,32.4,1.1,38.5,25.9,35.9,11.2,44.8,22.9,28.9,3.5,39.8,18.5,39.8,6.7,34.9,14.1,24,9.9
MN,346254,65.6,10.9,50.3,21.2,47.4,22.3,36.1,19.3,27.3,22.5,33.9,22.1,51.6,16.4,33.1,8.7,45.2,33.8,32.7,18.6,47.4,21.3,34,8,47.8,22.1,29.8,7.4,55.9,20.7,24.3,7.7,50.8,15.8,35.2,7.8,50.9,9.6,21.1,11.4
MS,283513,49.5,17.8,42.6,28.4,22.2,30.8,20.6,26.2,11.1,29.5,12.9,28.5,34.8,19.2,42,8.2,30.1,38.6,37.4,7.9,89.6,6.6,-18,-6.7,31.1,29.1,39.5,4.4,51.4,21.4,19.1,-5.2,33.8,21.9,43.1,4.2,32.6,20.7,30.4,9.3
MO,455483,55.3,14.4,47.2,23.7,37.2,26.4,23.7,23,16.7,28.8,21.8,23.5,42.5,19.3,38.1,8.4,35,32.4,38.9,9.2,58.8,19.6,15.9,6.9,35,31.5,42.3,15.9,47.8,26.8,28.8,9.2,42.8,19.5,40.6,7.4,40,13.5,23.8,10.5
MT,75444,55.9,10.4,34.1,19.1,36.5,27.5,34.4,16.5,23.1,24.1,25.9,25,44.5,17,35.3,7,15.1,14.5,70.1,-3.9,,,,,38.5,31.3,32.9,8.1,44.4,7.7,29.8,-9.8,44.3,16.4,38.1,4.2,42.3,12,20.3,8
NE,127695,71.2,14.8,55.3,20.7,44.3,22.6,35,20,23.7,24.9,34.3,19.2,54.8,16,31.1,7.5,22.6,33.6,50.8,11.1,27.2,10.8,52.3,-2,36.3,30,46.2,10.6,58.4,25.8,26.3,9.6,57.1,15,30.9,4.5,48,11.1,21.1,9.9
NV,203594,57.3,15.7,46.7,23.8,33.9,26.4,31.1,21.5,15.5,25.7,20.4,23.9,41.7,18.6,32.3,8.6,31,32.5,35.6,7.6,57.4,16.2,15.9,4.3,37.3,28.9,34.6,15.1,46.8,20.6,28.3,5,44.6,20.3,33.5,7,40.4,14.7,21.4,6.3
NH,86205,63.8,10.6,47.9,17.4,40.9,19.5,32.1,15.8,26.4,18.7,29.7,20.9,46.7,15.2,35.4,7.3,91,,-7.2,,59.9,15.4,14.7,4.3,39,12.6,44.3,4.2,31.4,27.1,44.5,14,48.8,13.3,37.1,6.4,44.8,9.4,17.4,7.6
NJ,442236,58.5,12.7,52,20.7,29.2,20.7,25.8,18.5,15.8,22.1,17.5,20.8,40.6,13.3,38.1,6.3,29,26,44.4,10.3,47.5,10.8,28.2,4.9,48.9,20,24.8,10.7,45.5,26.4,28.8,7.4,41.6,15.6,39.6,6.8,39,11.6,19.5,8.4
NM,172088,45.4,20.3,45.7,27.7,29.3,30.5,22.3,28.1,18.4,29,20.1,29.4,35.3,19.8,38.3,6.7,8.8,33.3,55.2,6.5,48,17.9,25.9,8.6,32.9,34.9,30.3,10.9,35.9,28.4,35.9,7.7,34.4,24.9,41.3,7.9,35.5,19.4,26.3,6.6
NY,1137516,52.5,16.8,45.5,26.5,30.3,30.2,24.8,24.9,12.8,27.8,15.9,27.5,39.4,18,38.2,8.1,30.9,31.5,37.3,11.1,35.5,24.4,33.8,8.1,38.9,27.8,34.1,12.2,35.2,35.5,34.6,15.7,36.1,22.8,40.5,9.9,37.6,15.1,25.5,9.9
NC,721213,53.2,15.4,45.8,22.6,32.2,25,24.2,21.7,16.6,22.2,17.4,23.5,39.5,16.8,38.1,7.3,34.6,27.4,39.5,5.2,49.6,11.3,24.4,1.7,34.8,27,40.2,10.1,45.4,26.7,30,2.7,41.4,18.3,40.1,5,35.7,15,22,7
ND,47057,77.2,9.9,67.8,22.6,52.6,24.1,36.5,22.3,30.6,19.2,23.7,27.7,59.1,18.5,25.7,10.1,67.8,10,18.8,-4.3,,27.8,,17.7,52.1,30.8,17.8,12.4,45.1,5.3,22.8,-15.1,63.6,15.6,22.3,6,52.9,10.7,23.3,12.3
OH,844365,52.6,14.5,43.3,22.5,34.5,28.3,25.2,22.9,15.6,24.2,21.7,24,40.1,19.6,39.9,9.6,36.6,35.4,35.7,7.4,35.8,21.8,39.6,10.5,37.8,28.7,38.5,10.3,42.8,31.3,33.4,9.7,41.4,21,41,9.1,37.8,14.7,23.9,9.3
OK,355773,56.2,14.8,47.2,24.9,32.9,27.9,26.6,22.1,15.6,25,19.5,24,42,20,35.3,7.4,33.8,28.5,40,0.3,38.9,16.8,36.3,1.3,37,27.8,36.1,11.4,49.8,22.2,26.9,0.7,44.1,20.9,36.7,6.6,38.2,16.6,23,6.4
OR,337722,59.5,15.1,47.3,21.3,33.4,29,27.8,20.5,17.4,24.9,24,24.2,40.8,20.5,36.1,9.3,36.3,21.9,34.1,1.1,47.9,17.3,26.2,5.3,39.7,22.6,35.8,8.1,56.1,28.1,21,11.9,43.2,20.2,37.5,8.5,41.9,12.7,22.5,9.3
PA,862692,53.7,14.9,42,24.5,33.1,29.2,24.8,21.9,16.2,24.5,19.8,25.1,42.1,17.9,37.6,8.7,29.1,36.5,41.6,13.7,43,17.6,31.3,4.1,42,28.6,35.5,12.1,35,35.4,37.6,11.9,39.9,20.1,41.6,9,39,13.4,24,10.6
RI,79542,61,9.2,58.1,21,37.5,26.1,23.4,18.5,11.6,23.7,19.6,21.8,42.9,15.3,37.2,5.5,50.5,37.2,22.3,11,20.6,27.3,52.6,7.8,41.3,26.7,40.8,11.2,41.4,31.1,28.8,8,40.9,17.5,39.7,5.4,43.7,14.9,22.3,7.1
SC,371131,52,15.6,47.7,23.1,31.3,25.1,23.7,23,14,23.2,20,23.8,36.5,16.4,40.1,5.5,30.6,32.4,42.4,7.5,53.1,14.9,21.6,-2,44.1,29.5,27.3,9.7,47.6,24.2,26.2,1.8,38.6,19.5,42,5.7,33.3,16.2,23.3,6.8
SD,54749,68.4,11.3,53.4,27.2,41.1,33.7,28.5,25.5,10.8,29.2,25.7,32.7,57.2,18.2,30.2,9.9,42.3,28.9,37.6,18.8,95,3.7,-9.7,-12.8,15.8,45.9,40,4.4,67.8,38,15.6,16,52.2,21.4,34.9,9.1,50,14.1,24.2,9.9
TN,536506,48.3,15.8,44.4,24.1,27.5,28.3,22.9,23.8,14.5,25.5,15.9,24,36,20.5,41.8,10.1,29.9,33,44.6,11.3,40.1,20.6,32.7,10.2,36.6,24.2,40.5,6.1,51.6,25.2,24.2,4.1,37.5,20.4,45.4,7.7,34,14.8,24.6,10.2
TX,1812286,58.9,14.8,53.2,22.6,36.8,24.3,32.1,21.1,16.9,24.9,22.2,22.6,47,14.5,31.1,5.6,40.4,27.2,33.7,7.6,55,14.6,19.8,6.4,47.9,19.8,27.4,7.1,46.2,25.6,27.1,6.3,48,18.3,34.6,4.8,43.9,15.7,22,6.3
UT,194928,71.3,11.9,58.7,22.6,48.1,21.9,41,17.2,26.7,18.5,28.8,19.6,52.1,16,28.7,9,51.4,29.8,24.4,8.8,55.5,14.7,25.6,9.3,52.6,26.1,24.7,15,65.8,18.8,13,6,57.5,14.5,31.3,7.5,50.6,9.1,19.3,9.9
VT,44065,56.3,19.3,37.6,23.5,26.1,30,20.9,25.5,7.6,27.1,19.4,26.9,36.9,24.5,42.9,14.2,79.6,2,-5.5,-25.6,,100,,85.1,51.5,29.6,23.6,10.6,,71.2,,53.6,39.4,23,41.9,12.5,35.9,12.7,27.6,15.3
VA,525816,57.2,13,52.2,19.5,35.5,23.4,30.4,19.2,18.5,20.5,21.5,19.7,44.8,15.7,34.9,7.9,37.2,27.6,40,10.7,53.3,11.4,22.1,2.7,44.4,19.7,33.4,8.9,57.4,18.1,22.4,2,48,16.2,35.9,6.1,40.9,11.5,20.3,8.5
WA,515893,58.1,12.2,48.9,20.4,34.1,24.3,26.3,20.2,14.3,24.5,21,23.5,41,17.2,36.9,9.2,35.5,24.2,35.3,3.5,47.6,20.4,28.8,11.1,41,22.2,32.7,11.2,48.2,22.6,29.3,5.6,43.4,16.8,38.9,7.8,40.5,10.8,20.3,9.2
WV,171095,46.4,19.6,28.8,26.3,23.5,29.7,18.2,26.2,8.4,34.4,13.4,29,29.6,24.8,41.8,9.6,28.1,47.6,40,17.1,81.8,18,-7.3,1.5,21.3,34.4,47.7,9.1,70.5,8,8.8,-17.5,30,21.6,44.9,7.2,29.4,18,29.7,12
WI,361742,57.5,14.2,52.3,20.7,41.3,29.9,30.1,21.4,15.6,25,25.9,25.9,48,18.9,35.3,10.4,30.3,40.3,40.6,12.7,36.2,13.6,43.6,0.6,51.1,26.6,26.2,12.2,47.8,35.2,30.7,16.6,48.9,20.4,36.3,10,43.6,11.8,22.8,11.2
WY,37772,65.7,13.1,56.6,19.2,43.9,25.8,33.4,20.8,21.4,29.4,29.5,24.1,52.6,16.8,28.8,6.5,,,,,62.8,,-7.9,,39.6,28.1,32.7,12.9,63.8,20.2,16.1,6,50.1,14.1,36.2,3,53.6,12.5,21,8.5
